obj_pt,obj_eta,obj_phi,obj_e,sum_pt,n_tracks,pt1_over_ptobj,pt2_over_ptobj,dr1,dr2,ntrk_r0_0p05,sumpt_r0_0p05,ntrk_r0p05_0p10,sumpt_r0p05_0p10,ntrk_r0p10_0p20,sumpt_r0p10_0p20,ntrk_r0p20_iso,sumpt_r0p20_iso,max_pt,mean_dr,ptw_mean_dr,top2_sumpt_frac,n_tracks_core,sum_pt_core
95.3043,1.26233,-1.35985,182.571,25.07713,9.0,0.062104125,0.050040554,0.09896916,0.17711923,2.0,5.61966,3.0,7.920818,4.0,11.536651,0.0,0.0,5.91879,0.11268802,0.11899719,0.4261999,2.0,5.61966
74.9951,0.166577,0.728678,76.2333,3.493048,3.0,0.019150585,0.014877238,0.19688965,0.18923722,0.0,0.0,0.0,0.0,3.0,3.493048,0.0,0.0,1.4362,0.17872934,0.18182842,0.73057115,0.0,0.0
41.9899,0.0634494,-3.05425,42.5102,2.07183,1.0,0.04934115,0.0,0.12086929,0.0,0.0,0.0,0.0,0.0,1.0,2.07183,0.0,0.0,2.07183,0.12086929,0.12086929,1.0,0.0,0.0
30.8751,0.645632,-0.81829,38.1189,3.250646,3.0,0.0443367,0.031242684,0.028196866,0.12934086,1.0,1.3689,0.0,0.0,2.0,1.881746,0.0,0.0,1.3689,0.114124015,0.10240419,0.7178638,1.0,1.3689
26.5212,-0.0274168,-2.44693,27.0507,2.17218,2.0,0.04200451,0.039899025,0.10250264,0.13471521,0.0,0.0,0.0,0.0,2.0,2.17218,0.0,0.0,1.11401,0.11860893,0.118194886,1.0,0.0,0.0
24.5916,2.35686,-2.04678,131.039,4.197849,3.0,0.08852291,0.046323948,0.18288812,0.11363749,0.0,0.0,1.0,0.881749,2.0,3.3161,0.0,0.0,2.17692,0.12285351,0.14081094,0.78995216,0.0,0.0
23.5036,1.54254,-0.536925,57.5242,4.16847,3.0,0.06508152,0.0580911,0.08835474,0.1608976,0.0,0.0,1.0,1.52965,2.0,2.63882,0.0,0.0,1.52965,0.14833435,0.14492513,0.69449943,0.0,0.0
87.1769,0.889839,2.05298,124.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.4313,0.34793,-0.138774,66.3414,5.481737,4.0,0.03914527,0.01716719,0.13821253,0.08473703,0.0,0.0,1.0,1.07177,3.0,4.409967,0.0,0.0,2.44389,0.13792211,0.13675667,0.6413405,0.0,0.0
54.9879,-0.389571,1.49539,60.2535,4.11483,3.0,0.02875069,0.025914429,0.13379215,0.1956949,0.0,0.0,0.0,0.0,3.0,4.11483,0.0,0.0,1.58094,0.1633986,0.16248307,0.7305089,0.0,0.0
