event_id,m_gg
17876,124.3968266275211
17879,124.95766123856512
17883,126.37781846926877
17884,132.67594399262902
17889,128.23781398479753
17894,123.42645055170665
17895,127.19281196576752
17898,128.81185428871026
17899,123.95604364923932
17903,125.1482640916039
17904,123.75930285307413
17908,127.0488560922062
17910,120.1372217844182
17922,125.56491425397518
17926,125.27218250325555
17928,127.41754571215924
17930,123.28555604961943
17933,122.13969174637258
17934,122.63634027411365
17935,125.23842442641819
17937,124.87557039994648
17945,122.2852260666295
17956,122.29939371382459
17957,130.20787145803908
17959,126.11708313492177
17972,127.13161624827477
17973,131.98306829168413
17979,126.36576840358755
17983,130.83537980459266
17985,124.48675263490885
17993,124.29572512925638
17994,124.39361169610176
17998,124.77180382469902
18008,125.20852825620065
18027,125.56944976647921
18029,128.44275621484928
18030,123.60575992409291
18037,127.87076253398095
18043,128.06800779294386
18047,128.40416345833899
18048,123.66805812686931
18050,129.13148208964566
18063,124.59566479212798
18064,130.03698786450556
18067,127.25147314146149
18076,127.12658138628822
18083,127.02306932583262
18094,127.42169302959937
18095,124.15114189613989
18105,122.7813285888517
18111,122.50944428907309
18120,125.84013053671407
18121,119.7960936695345
18126,125.52914596099711
18127,129.29412443972254
18129,128.07770378891323
18133,128.1346203216109
18138,124.8464077370307
18141,125.18936824275258
18147,128.10254783169742
18148,129.89141401564683
18153,123.19642802377193
18154,126.7990882550245
18157,126.7046847053368
18158,120.39176361352196
18160,124.59496076871912
18161,127.72306594739392
18166,120.73104600708902
18168,122.52563880513301
18170,129.03444754005218
18171,123.6806637183298
18172,128.37684087361933
18173,129.61501975709047
18177,125.23417875207709
18184,124.13359607917148
18185,129.08964675940356
18190,129.38995383361785
18194,126.75297780787139
18197,124.29707479753044
18198,125.43827225500179
18200,128.57313448830894
18201,125.952826917188
18217,125.74636116337204
18228,121.95624438381259
18233,123.0581447926661
18245,121.7270315784557
18252,130.0704647048599
18258,121.32724973760583
18260,123.8999799996881
18261,125.9906518034423
18267,128.91494856315845
18268,125.63926052806892
18271,121.72737617655653
18274,121.74831686224772
18278,124.84783594930444
18280,126.07970807283984
18284,126.20415138644503
18289,136.61658163620496
18296,123.43208107666405
18304,125.13378289509225
18312,124.46251375655812
18313,127.28588152688789
18320,121.32321624167865
18321,122.91685076549007
18323,128.31965216116086
18341,126.31218255215325
18344,131.897541183083
18352,114.8240021550591
18354,127.27249404596384
18362,128.95222031022908
18364,123.67007188133732
18367,126.82020538165644
18370,127.3158303016894
18371,124.9444116573275
18374,125.70551069975019
18378,126.20817632519777
18386,127.82222459145659
18387,124.26755185533838
18389,123.19278944446938
18390,122.17122720522352
18397,124.44346684716234
18399,130.4801560815932
18405,123.17651131628035
18413,124.42840961360001
18416,122.34292868663798
18420,130.4456226731989
18424,121.84787596038086
18425,122.85199900957636
18436,127.51135238624938
18438,128.57232751930763
18439,123.31793647667645
18441,129.21275338056236
18449,127.954558089055
18450,126.89656788526823
18453,122.74322995582204
18456,126.54990199862225
18460,126.05512515776469
18462,125.74176040794255
18465,123.44556519675062
18469,124.7019841211361
18472,122.37611540329746
18474,126.55243053572937
18477,120.1714472231269
18479,125.96625544782263
18481,125.54974250582869
18485,129.34288906553792
18487,128.33319204699228
18488,126.80678845522704
18492,126.44056989205595
18501,124.47776802621847
18511,122.33125667402025
18514,130.50977729680184
18517,125.10074270055489
18521,121.76622063939604
18528,124.05928558347199
18529,124.58249388189539
18533,121.57342322242006
18540,128.10799398375778
18554,120.86501263434198
18556,122.76837887577257
18561,124.51482029028867
18569,130.86189654528852
18571,124.96211262514448
18572,119.22781584453287
18573,126.53325753699092
18575,124.26780249793663
18576,124.16322648327133
18579,125.54472080116071
18588,123.22032018721562
18589,128.83004933807442
18590,127.97522539299126
18595,130.1227891143898
18599,127.32307136249977
18601,123.9573017694177
18605,127.18314458792845
18606,126.74113032914379
18607,126.08020814344302
18608,130.44869442904914
18618,125.38634732805392
18620,124.49692291945269
18621,123.39014570526798
18625,123.35938935937726
18628,124.66291513341413
18631,127.14672632693778
18633,126.86728711619865
18637,127.07283230349321
18638,128.54301701397938
18640,125.02614717062723
18644,127.33593718030762
18652,125.4371804165917
18654,124.53422496894676
18655,126.73961550323457
18657,127.92622844070056
18664,124.91295300362245
18667,124.79513113574615
18668,122.67234614225201
18676,125.29120588420659
18681,122.87172603577801
18687,127.69793463108876
18691,132.70168896990563
18693,125.27967418425425
18705,126.56345771548365
18707,126.82651890487864
18708,126.73885955644775
18709,125.9079761283427
18711,127.99734349035121
18715,124.96467302559513
18716,126.89774456158509
18718,125.96523621825816
18726,123.36911984926522
18727,126.29827483864689
18729,123.18638103389908
18731,123.58100976647329
18735,118.99791802832135
18749,125.66967882094724
18751,122.51205435462447
18756,126.38227572110299
18760,120.40712970872951
18761,127.27315221851785
18765,123.03620446137917
18766,126.5227709164841
18771,122.51416710433031
18775,123.80533230343714
18778,126.37955760010753
18781,125.3031475776415
18789,124.95787540730234
18790,127.85250719475164
18813,124.8449095390115
18814,122.5217410816809
18817,126.57345566564976
18819,123.66478888464076
18820,125.95427165661681
18824,128.3546095171477
18826,129.83124706748123
18830,124.7947971956419
18834,126.8790321987259
18835,126.38298768980113
18838,125.79845867069835
18846,120.68070489192904
18851,125.49802545622468
18857,119.7372251875125
18863,123.23788051186126
18865,122.52832021164468
18867,127.11314922008678
